,Incident No.,View,Unit,Zone,Function,Category,Incident Nature,Incident Type,Description,Incident Date,Reporting Date,Status,Debit Note Status
3117,3117,FAR,DTA,B-Zone,Physical Security,Security,Access control related,Invalid EP,Access control relatedInvalid EP,2020-04-24 00:00:00,2020-04-24,Approved By Site Head,
3118,3118,FAR,DTA,Reliance Green,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2020-04-24 00:00:00,2020-04-24,Approved By Site Head,
3119,3119,FAR,DTA,A-Zone,Physical Security,Security,Special Observations / Night Round,HOS Site Round,Special Observations / Night RoundHOS Site Round,2020-04-24 00:00:00,2020-04-24,Approved By Site Head,
3120,3120,FAR,SEZ,D Zone,Automation,Security,Critical Equipment down/Offline,Barrier,Critical Equipment down/OfflineBarrier,2020-04-23 00:00:00,2020-04-23,Approved By Site Head,
3121,3121,FAR,C2,IIR,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-23 00:00:00,2020-04-24,Approved By Site Head,
3122,3122,FAR,DTA,C-Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-23 00:00:00,2020-04-23,Approved By Site Head,
3123,3123,FAR,PCG,SEZ PCG,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-04-22 00:00:00,2020-04-22,Approved By Site Head,
3124,3124,FAR,DTA,B-Zone,Traffic,Traffic incident,Others,,,2020-04-22 00:00:00,2020-04-22,Approved By Site Head,
3125,3125,FAR,SEZ,Material Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-22 00:00:00,2020-04-22,Approved By Site Head,
3126,3126,FAR,Off Site,Off Site,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-22 00:00:00,2020-04-22,Not Approved,
3127,3127,FAR,MTF,On Shore,Physical Security,Security,Access control related,Intrusion,Access control relatedIntrusion,2020-04-22 00:00:00,2020-04-22,Approved By Site Head,
3128,3128,FAR,DTA,C-Zone,Physical Security,Security,Access control related,Without EP,Access control relatedWithout EP,2020-04-21 00:00:00,2020-04-21,Approved By Site Head,
3129,3129,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2020-04-21 00:00:00,2020-04-21,Approved By Site Head,
3130,3130,FAR,Off Site,Off Site,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-21 00:00:00,2020-04-21,Not Approved,
3131,3131,FAR,SEZ,Material Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-21 00:00:00,2020-04-21,Approved By Site Head,
3132,3132,FAR,DTA,Reliance Green,Physical Security,Others,Emergency response,Others,Emergency responseOthers,2020-04-21 00:00:00,2020-04-21,Approved By Site Head,
3133,3133,FAR,PCG,SEZ PCG,Physical Security,Security,Missing,,,2020-04-21 00:00:00,2020-04-21,Approved By Site Head,
3134,3134,FAR,MTF,Off Shore,Physical Security,Security,Access control related,Intrusion,Access control relatedIntrusion,2020-04-21 00:00:00,2020-04-21,Approved By Site Head,
3135,3135,FAR,DTA,C-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2020-04-20 00:00:00,2020-04-20,Approved By Site Head,
3136,3136,FAR,C2,C&Q,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2020-04-19 00:00:00,2020-04-21,Not Approved,
3137,3137,FAR,C2,C2 Material,Traffic,Traffic incident,Damaging property,,,2020-04-19 00:00:00,2020-04-19,Approved By Site Head,
3138,3138,FAR,Off Site,Off Site,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-18 00:00:00,2020-04-18,Not Approved,
3139,3139,FAR,DTA,C-Zone,Physical Security,Security,Access control related,Intrusion,Access control relatedIntrusion,2020-04-18 00:00:00,2020-04-18,Approved By Site Head,
3140,3140,FAR,DTA,Reliance Green,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2020-04-17 00:00:00,2020-04-17,Approved By Site Head,
3141,3141,FAR,DTA,A-Zone,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2020-04-15 00:00:00,2020-04-15,Approved By Site Head,
3142,3142,FAR,Off Site,Off Site,Traffic,Traffic incident,Damaging property,,,2020-04-15 00:00:00,2020-04-15,Approved By Site Head,
3143,3143,FAR,PCG,SEZ PCG,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2020-04-14 00:00:00,2020-04-14,Approved By Site Head,
3144,3144,FAR,PCG,SEZ PCG,Physical Security,Others,Near Miss,,,2020-04-14 00:00:00,2020-04-14,Approved By Site Head,
3145,3145,FAR,DTA,Reliance Green,Physical Security,Security,Mock Drill,Security Mock Drill - Level 2,Mock DrillSecurity Mock Drill - Level 2,2020-04-14 00:00:00,2020-04-14,Approved By Site Head,
3146,3146,FAR,DTA,C-Zone,Physical Security,Safety violation,Carrying inflammable material,Match box,Carrying inflammable materialMatch box,2020-04-13 00:00:00,2020-04-13,Approved By Site Head,
3147,3147,FAR,DTA,A-Zone,Traffic,Traffic incident,FAC,,,2020-04-11 00:00:00,2020-04-11,Approved By Site Head,
3148,3148,FAR,DTA,Reliance Green,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2020-04-10 00:00:00,2020-04-10,Approved By Site Head,
3149,3149,FAR,PCG,SEZ PCG,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-04-10 00:00:00,2020-04-10,Approved By Site Head,
3150,3150,FAR,MTF,MTF OSBL,Traffic,Traffic incident,Others,,,2020-04-09 00:00:00,2020-04-09,Approved By Site Head,
3151,3151,FAR,DTA,B-Zone,Physical Security,Others,Worksite accidents,LWC,Worksite accidentsLWC,2020-04-08 00:00:00,2020-04-08,Approved By Site Head,
3152,3152,FAR,PCG,DTA PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-07 00:00:00,2020-04-07,Approved By Site Head,
3153,3153,FAR,PCG,DTA PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-06 00:00:00,2020-04-06,Approved By Site Head,
3154,3154,FAR,PCG,SEZ PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-05 00:00:00,2020-04-05,Approved By Site Head,
3155,3155,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-04-05 00:00:00,2020-04-05,Not Approved,
3156,3156,FAR,MTF,Off Shore,Physical Security,Others,IR issue,Others,IR issueOthers,2020-04-04 00:00:00,2020-04-04,Approved By Site Head,
3157,3157,FAR,C2,C2 Ops,Traffic,Traffic incident,Near miss,,,2020-04-03 00:00:00,2020-04-03,Approved By Site Head,
3158,3158,FAR,DTA,C-Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-04-03 00:00:00,2020-04-03,Approved By Site Head,
3159,3159,FAR,MTF,Haul Road,Automation,Security,Critical Equipment down/Offline,Gate,Critical Equipment down/OfflineGate,2020-04-02 00:00:00,2020-04-02,Approved By Site Head,
3160,3160,FAR,MTF,MTF OSBL,Physical Security,Security,Access control related,Intrusion,Access control relatedIntrusion,2020-04-02 00:00:00,2020-04-02,Approved By Site Head,
3161,3161,FAR,PCG,DTA PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-04-02 00:00:00,2020-04-02,Approved By Site Head,
3162,3162,FAR,MTF,MTF OSBL,Traffic,Traffic incident,Damaging property,,,2020-04-02 00:00:00,2020-04-02,Approved By Site Head,
3163,3163,FAR,PCG,SEZ PCG,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2020-04-02 00:00:00,2020-04-02,Approved By Site Head,
3164,3164,FAR,Off Site,Off Site,Traffic,Traffic incident,Near miss,,,2020-04-01 00:00:00,2020-04-01,Approved By Site Head,
3165,3165,FAR,DTA,C-Zone,Physical Security,Security,Non Payment Issue,,,2020-04-01 00:00:00,2020-04-01,Approved By Site Head,
3166,3166,FAR,MTF,MTF OSBL,Physical Security,Safety violation,Carrying inflammable material,Match box,Carrying inflammable materialMatch box,2020-04-01 00:00:00,2020-04-01,Approved By Site Head,
3167,3167,FAR,DTA,Reliance Green,Physical Security,Others,Emergency response,Others,Emergency responseOthers,2020-03-31 00:00:00,2020-03-31,Approved By Site Head,
3168,3168,FAR,MTF,MTF OSBL,Physical Security,Others,IR issue,Others,IR issueOthers,2020-03-31 00:00:00,2020-03-31,Approved By Site Head,
3169,3169,FAR,DTA,A-Zone,Traffic,Traffic incident,Near miss,,,2020-03-31 00:00:00,2020-03-31,Approved By Site Head,
3170,3170,FAR,SEZ,D Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-31 00:00:00,2020-03-31,Approved By Site Head,
3171,3171,FAR,MTF,MTF OSBL,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2020-03-31 00:00:00,2020-03-31,Approved By Site Head,
3172,3172,FAR,C2,C2 Material,Traffic,Traffic incident,Damaging property,,,2020-03-30 00:00:00,2020-03-30,Approved By Site Head,
3173,3173,FAR,DTA,C-Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-03-30 00:00:00,2020-03-30,Approved By Site Head,
3174,3174,FAR,DTA,A-Zone,Physical Security,Others,Worksite accidents,Injury (Unclassified),Worksite accidentsInjury (Unclassified),2020-03-30 00:00:00,2020-03-30,Approved By Site Head,
3175,3175,FAR,SEZ,Z-RTF,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-30 00:00:00,2020-03-30,Approved By Site Head,
3176,3176,FAR,C2,C2 Material,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-30 00:00:00,2020-03-30,Approved By Site Head,
3177,3177,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-30 00:00:00,2020-03-30,Approved By Site Head,
3178,3178,FAR,PCG,DTA PCG,Physical Security,Others,Near Miss,,,2020-03-30 00:00:00,2020-03-30,Approved By Site Head,
3179,3179,FAR,SEZ,Material Zone,Physical Security,Others,Emergency response,Leakage / Spillage,Emergency responseLeakage / Spillage,2020-03-28 00:00:00,2020-03-28,Approved By Site Head,
3180,3180,FAR,DTA,C-Zone,Traffic,Traffic incident,Damaging property,,,2020-03-28 00:00:00,2020-03-28,Approved By Site Head,
3181,3181,FAR,MTF,MTF ISBL,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2020-03-27 00:00:00,2020-03-27,Approved By Site Head,
3182,3182,FAR,DTA,C-Zone,Traffic,Traffic incident,Near miss,,,2020-03-27 00:00:00,2020-03-27,Approved By Site Head,
3183,3183,FAR,DTA,C-Zone,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2020-03-27 00:00:00,2020-03-27,Approved By Site Head,
3184,3184,FAR,SEZ,Z-RTF,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-26 00:00:00,2020-03-26,Approved By Site Head,
3185,3185,FAR,MTF,MTF OSBL,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2020-03-26 00:00:00,2020-03-26,Approved By Site Head,
3186,3186,FAR,SEZ,D Zone,Automation,Security,Critical Equipment down/Offline,Card Reader,Critical Equipment down/OfflineCard Reader,2020-03-26 00:00:00,2020-03-26,Approved By Site Head,
3187,3187,FAR,SEZ,D Zone,Automation,Security,Critical Equipment down/Offline,Barrier,Critical Equipment down/OfflineBarrier,2020-03-26 00:00:00,2020-03-26,Approved By Site Head,
3188,3188,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-26 00:00:00,2020-03-26,Not Approved,
3189,3189,FAR,SEZ,Material Zone,Traffic,Traffic incident,Others,,,2020-03-25 00:00:00,2020-03-25,Approved By Site Head,
3190,3190,FAR,DTA,B-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2020-03-25 00:00:00,2020-03-25,Approved By Site Head,
3191,3191,FAR,DTA,A-Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-25 00:00:00,2020-03-25,Approved By Site Head,
3192,3192,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,24-MAR-2020,2020-03-24,Not Approved,
3193,3193,FAR,PCG,DTA PCG,Physical Security,Security,Access control related,Without EP,Access control relatedWithout EP,2020-03-24 00:00:00,2020-03-24,Approved By Site Head,
3194,3194,FAR,C2,C2 Ops,Physical Security,Security,Missing,,,2020-03-23 00:00:00,2020-03-23,Approved By Site Head,
3195,3195,FAR,SEZ,D Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-03-22 00:00:00,2020-03-22,Approved By Site Head,
3196,3196,FAR,C2,C&Q,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2020-03-22 00:00:00,2020-03-22,Not Approved,
3197,3197,FAR,C2,C2 Ops,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-22 00:00:00,2020-03-22,Approved By Site Head,
3198,3198,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2020-03-22 00:00:00,2020-03-22,Not Approved,
3199,3199,FAR,SEZ,Material Zone,Automation,Security,Critical Equipment down/Offline,Camera,Critical Equipment down/OfflineCamera,2020-03-21 00:00:00,2020-03-21,Approved By Site Head,
3200,3200,FAR,C2,IIR,Physical Security,Security,Non Payment Issue,,,2020-03-21 00:00:00,2020-03-21,Approved By Site Head,
3201,3201,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Leakage / Spillage,Emergency responseLeakage / Spillage,2020-03-20 00:00:00,2020-03-20,Approved By Site Head,
3202,3202,FAR,C2,IIR,Physical Security,Security,Non Payment Issue,,,2020-03-19 00:00:00,2020-03-19,Approved By Site Head,
3203,3203,FAR,PCG,DTA PCG,Traffic,Traffic incident,Near miss,,,2020-03-19 00:00:00,2020-03-19,Approved By Site Head,
3204,3204,FAR,PCG,DTA PCG,Traffic,Traffic incident,Near miss,,,2020-03-19 00:00:00,2020-03-19,Approved By Site Head,
3205,3205,FAR,PCG,DTA PCG,Automation,Security,Critical Equipment down/Offline,Barrier,Critical Equipment down/OfflineBarrier,2020-03-19 00:00:00,2020-03-19,Approved By Site Head,
3206,3206,FAR,Off Site,Off Site,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2020-03-19 00:00:00,2020-03-19,Not Approved,
3207,3207,FAR,C2,C&Q,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2020-03-19 00:00:00,2020-03-19,Not Approved,
3208,3208,FAR,C2,IIR,Physical Security,Security,Non Payment Issue,,,2020-03-19 00:00:00,2020-03-19,Approved By Site Head,
3209,3209,FAR,DTA,C-Zone,Physical Security,Others,IR issue,,,2020-03-18 00:00:00,2020-03-18,Approved By Site Head,
3210,3210,FAR,C2,C2 Material,Traffic,Traffic incident,Near miss,,,2020-03-18 00:00:00,2020-03-18,Approved By Site Head,
3211,3211,FAR,C2,C&Q,Physical Security,Security,Impersonation,Others,ImpersonationOthers,2020-03-18 00:00:00,2020-03-18,Not Approved,
3212,3212,FAR,C2,C2 Ops,Physical Security,Others,IR issue,,,2020-03-17 00:00:00,2020-03-17,Approved By Site Head,
3213,3213,FAR,SEZ,D Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-17 00:00:00,2020-03-17,Approved By Site Head,
3214,3214,FAR,C2,C&Q,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2020-03-17 00:00:00,2020-03-17,Not Approved,
3215,3215,FAR,DTA,A-Zone,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2020-03-17 00:00:00,2020-03-17,Approved By Site Head,
3216,3216,FAR,DTA,B-Zone,Physical Security,Security,Special Observations / Night Round,Unidentified Flying Object,Special Observations / Night RoundUnidentified Flying Object,2020-03-17 00:00:00,2020-03-17,Approved By Site Head,
3217,3217,FAR,SEZ,D Zone,Physical Security,Security,Special Observations / Night Round,Unidentified Flying Object,Special Observations / Night RoundUnidentified Flying Object,2020-03-17 00:00:00,2020-03-17,Approved By Site Head,
3218,3218,FAR,SEZ,D Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2020-03-17 00:00:00,2020-03-17,Approved By Site Head,
3219,3219,FAR,SEZ,D Zone,Traffic,Traffic incident,Near miss,,,2020-03-16 00:00:00,2020-03-16,Approved By Site Head,
3220,3220,FAR,DTA,A-Zone,Physical Security,Others,Near Miss,,,2020-03-16 00:00:00,2020-03-16,Approved By Site Head,
3221,3221,FAR,DTA,A-Zone,Physical Security,Others,IR issue,Others,IR issueOthers,2020-03-16 00:00:00,2020-03-16,Approved By Site Head,
3222,3222,FAR,DTA,Reliance Green,Physical Security,Security,Forceful entry,Reported,Forceful entryReported,2020-03-16 00:00:00,2020-03-16,Approved By Site Head,
3223,3223,FAR,PCG,SEZ PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-16 00:00:00,2020-03-16,Approved By Site Head,
3224,3224,FAR,SEZ,Z-RTF,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-03-15 00:00:00,2020-03-15,Approved By Site Head,
3225,3225,FAR,PCG,SEZ PCG,Traffic,Traffic incident,Near miss,,,2020-03-15 00:00:00,2020-03-15,Approved By Site Head,
3226,3226,FAR,PCG,DTA PCG,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2020-03-14 00:00:00,2020-03-14,Approved By Site Head,
3227,3227,FAR,PCG,DTA PCG,Physical Security,Security,Missing,,,2020-03-14 00:00:00,2020-03-14,Approved By Site Head,
3228,3228,FAR,DTA,Reliance Green,Physical Security,Others,Emergency response,Others,Emergency responseOthers,2020-03-14 00:00:00,2020-03-14,Approved By Site Head,
3229,3229,FAR,DTA,C-Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-14 00:00:00,2020-03-14,Approved By Site Head,
3230,3230,FAR,SEZ,Material Zone,Physical Security,Security,Impersonation,Others,ImpersonationOthers,2020-03-13 00:00:00,2020-03-13,Approved By Site Head,
3231,3231,FAR,Off Site,Off Site,Traffic,Traffic incident,Others,,,2020-03-13 00:00:00,2020-03-13,Approved By Site Head,
3232,3232,FAR,PCG,SEZ PCG,Physical Security,Others,IR issue,,,2020-03-13 00:00:00,2020-03-13,Approved By Site Head,
3233,3233,FAR,SEZ,Material Zone,Physical Security,Others,IR issue,,,2020-03-13 00:00:00,2020-03-13,Approved By Site Head,
3234,3234,FAR,DTA,B-Zone,Traffic,Traffic incident,Near miss,,,2020-03-13 00:00:00,2020-03-13,Approved By Site Head,
3235,3235,FAR,PCG,DTA PCG,Traffic,Traffic incident,Others,,,2020-03-12 00:00:00,2020-03-12,Approved By Site Head,
3236,3236,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-11 00:00:00,2020-03-11,Approved By Zone IC,
3237,3237,FAR,DTA,Reliance Green,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-11 00:00:00,2020-03-11,Approved By Site Head,
3238,3238,FAR,DTA,C-Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-11 00:00:00,2020-03-11,Approved By Site Head,
3239,3239,FAR,MTF,MTF OSBL,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-11 00:00:00,2020-03-11,Approved By Site Head,
3240,3240,FAR,C2,C&Q,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2020-03-11 00:00:00,2020-03-11,Approved By Site Head,
3241,3241,FAR,C2,C2 Ops,Physical Security,Others,Emergency response,Leakage / Spillage,Emergency responseLeakage / Spillage,2020-03-09 00:00:00,2020-03-09,Approved By Site Head,
3242,3242,FAR,SEZ,D Zone,Automation,Security,Critical Equipment down/Offline,Barrier,Critical Equipment down/OfflineBarrier,2020-03-09 00:00:00,2020-03-09,Approved By Site Head,
3243,3243,FAR,DTA,Reliance Green,Physical Security,Security,Forceful entry,Reported,Forceful entryReported,2020-03-09 00:00:00,2020-03-09,Approved By Site Head,
3244,3244,FAR,DTA,A-Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2020-03-09 00:00:00,2020-03-09,Approved By Site Head,
3245,3245,FAR,C2,C&Q,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2020-03-08 00:00:00,2020-03-08,Approved By Site Head,
3246,3246,FAR,DTA,C-Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-08 00:00:00,2020-03-08,Approved By Site Head,
3247,3247,FAR,Off Site,Off Site,Physical Security,Others,Near Miss,,,2020-03-07 00:00:00,2020-03-07,Approved By Zone IC,
3248,3248,FAR,DTA,C-Zone,Physical Security,Safety violation,Mobile inside plant area,On-condition,Mobile inside plant areaOn-condition,2020-03-07 00:00:00,2020-03-07,Approved By Site Head,
3249,3249,FAR,Off Site,Off Site,Traffic,Traffic incident,Near miss,,,2020-03-07 00:00:00,2020-03-07,Not Approved,
3250,3250,FAR,C2,C&Q,Physical Security,Security,Non Payment Issue,,,2020-03-07 00:00:00,2020-03-07,Approved By Site Head,
3251,3251,FAR,DTA,B-Zone,Physical Security,Safety violation,Carrying inflammable material,Match box,Carrying inflammable materialMatch box,2020-03-06 00:00:00,2020-03-06,Approved By Site Head,
3252,3252,FAR,C2,C&Q,Physical Security,Security,Non Payment Issue,,,2020-03-06 00:00:00,2020-03-06,Approved By Site Head,
3253,3253,FAR,DTA,B-Zone,Physical Security,Security,Impersonation,Forged EP,ImpersonationForged EP,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3254,3254,FAR,C2,C2 Ops,Physical Security,Security,Non Payment Issue,,,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3255,3255,FAR,C2,C&Q,Automation,Security,Expired EP Punching,Attempted to enter the site,Expired EP PunchingAttempted to enter the site,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3256,3256,FAR,Off Site,Off Site,Traffic,Traffic incident,Others,,,2020-03-05 00:00:00,2020-03-06,Not Approved,
3257,3257,FAR,DTA,C-Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3258,3258,FAR,SEZ,D Zone,Physical Security,Security,Access control related,Without EP,Access control relatedWithout EP,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3259,3259,FAR,DTA,Reliance Green,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3260,3260,FAR,MTF,MTF OSBL,Physical Security,Security,Stone Pelting,,,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3261,3261,FAR,C2,C2 Material,Physical Security,Security,Impersonation,Others,ImpersonationOthers,2020-03-05 00:00:00,2020-03-05,Approved By Site Head,
3262,3262,FAR,PCG,DTA PCG,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2020-03-04 00:00:00,2020-03-04,Approved By Site Head,
3263,3263,FAR,MTF,MTF OSBL,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-03-04 00:00:00,2020-03-05,Approved By Site Head,
3264,3264,FAR,DTA,A-Zone,Automation,Security,Damage to company property,Card reader,Damage to company propertyCard reader,2020-03-04 00:00:00,2020-03-04,Approved By Site Head,
3265,3265,FAR,SEZ,D Zone,Physical Security,Others,IR issue,,,2020-03-04 00:00:00,2020-03-04,Approved By Site Head,
3266,3266,FAR,C2,C2 Material,Physical Security,Security,Impersonation,Others,ImpersonationOthers,2020-03-04 00:00:00,2020-03-04,Approved By Site Head,
3267,3267,FAR,Off Site,Off Site,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2020-03-03 00:00:00,2020-03-03,Approved By Zone IC,
3268,3268,FAR,DTA,C-Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2020-03-03 00:00:00,2020-03-03,Approved By Site Head,
3269,3269,FAR,C2,C2 Material,Traffic,Traffic incident,Near miss,,,2020-03-03 00:00:00,2020-03-03,Approved By Site Head,
3270,3270,FAR,DTA,Reliance Green,Traffic,Traffic incident,Near miss,,,2020-03-03 00:00:00,2020-03-03,Approved By Site Head,
3271,3271,FAR,C2,C2 Ops,Physical Security,Security,Missing,,,2020-03-03 00:00:00,2020-03-03,Approved By Site Head,
3272,3272,FAR,DTA,Reliance Green,Traffic,Traffic incident,Near miss,,,2020-03-03 00:00:00,2020-03-03,Approved By Site Head,
3273,3273,FAR,PCG,SEZ PCG,Physical Security,Security,Non Payment Issue,,,2020-03-02 00:00:00,2020-03-02,Approved By Site Head,
3274,3274,FAR,MTF,On Shore,Physical Security,Security,Access control related,Invalid EP,Access control relatedInvalid EP,2020-03-02 00:00:00,2020-03-02,Approved By Site Head,
3275,3275,FAR,C2,C2 Ops,Traffic,Traffic incident,Near miss,,,2020-03-02 00:00:00,2020-03-02,Approved By Site Head,
3276,3276,FAR,C2,IIR,Physical Security,Others,IR issue,,,2020-03-02 00:00:00,2020-03-02,Approved By Site Head,
3277,3277,FAR,SEZ,Material Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2020-03-02 00:00:00,2020-03-02,Approved By Site Head,
3278,3278,FAR,C2,IIR,Physical Security,Security,Missing,,,2020-03-02 00:00:00,2020-03-02,Approved By Site Head,
3279,3279,FAR,SEZ,D Zone,Automation,Security,Critical Equipment down/Offline,Barrier,Critical Equipment down/OfflineBarrier,2020-03-02 00:00:00,2020-03-02,Approved By Site Head,
3280,3280,FAR,DTA,C-Zone,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2020-03-01 00:00:00,2020-03-01,Approved By Site Head,
3281,3281,FAR,SEZ,Material Zone,Automation,Security,Critical Equipment down/Offline,Card Reader,Critical Equipment down/OfflineCard Reader,2020-03-01 00:00:00,2020-03-01,Approved By Site Head,
3282,3282,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2020-03-01 00:00:00,2020-03-01,Approved By Site Head,
3283,3283,FAR,Off Site,Off Site,Traffic,Traffic incident,Near miss,,,2020-02-29 00:00:00,2020-02-29,Not Approved,
3284,3284,FAR,C2,C2 Material,Physical Security,Security,Impersonation,Forged DL,ImpersonationForged DL,2020-02-29 00:00:00,2020-02-29,Approved By Site Head,
3285,3285,FAR,SEZ,Material Zone,Physical Security,Security,Mock Drill,Security Mock Drill - Level 2,Mock DrillSecurity Mock Drill - Level 2,2020-02-29 00:00:00,2020-02-29,Approved By Site Head,
3286,3286,FAR,PCG,SEZ PCG,Physical Security,Security,Mock Drill,Security Mock Drill - Level 2,Mock DrillSecurity Mock Drill - Level 2,2020-02-29 00:00:00,2020-02-29,Approved By Site Head,
3287,3287,FAR,SEZ,D Zone,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2020-02-29 00:00:00,2020-02-29,Approved By Site Head,
